PARLAMENTARIO_ID,NOMBRE_COMPLETO,VIGENTE,FECHA_NACIMIENTO,REDES_SOCIALES,SITIOS_WEB,CAMARA_ACTUAL,CAMARA,INICIO,FINAL,PARTIDO_POLITICO,UNIDAD_QUE_REPRESENTA
4611,Cristhian Moreira Barros,1,1961-09-05,,,C.Diputados,C. Diputados,2022,2026,Partido Unión Demócrata Independiente,13er Distrito
5209,Daniela Serrano Salazar,1,1995-03-17,,,C.Diputados,C. Diputados,2022,2026,Partido Comunista de Chile,12° Distrito
5194,Cristian Tapia Ramos,1,1968-07-14,,,C.Diputados,C. Diputados,2022,2026,,4° Distrito
5203,Cristian Araya Lerdo De Tejada,1,1988-09-30,,,C.Diputados,C. Diputados,2022,2026,Partido Republicano de Chile,11° Distrito
4647,Cristian Labbe Martinez,1,1980-03-06,,,C.Diputados,C. Diputados,2022,2026,Unión Demócrata Independiente,8º Distrito
5265,Cristobal Martinez Ramirez,1,1984-04-30,,,C.Diputados,C. Diputados,2022,2026,Partido Unión Demócrata Independiente,19° Distrito
4549,Cristobal Urruticoechea Rios,1,1975-11-21,,,C.Diputados,C. Diputados,2022,2026,,21er Distrito
4589,Luz Eliana Ebensperger Orrego,1,1964-03-08,,,Senado,Senado,2018,2026,Partido Unión Demócrata Independiente,2ª Circunscripción
4629,Raul Soto Mardones,1,1987-11-20,,,C.Diputados,C. Diputados,2022,2026,Partido Por la Democracia,15° Distrito
4576,Maite Orsini Pascal,1,1988-02-23,,,C.Diputados,C. Diputados,2022,2026,Partido Frente Amplio,9º Distrito
5216,Daniel Lilayu Vivanco,1,1949-03-02,,,C.Diputados,C. Diputados,2022,2026,Partido Unión Demócrata Independiente,25° Distrito
5201,Daniel Manouchehri Lobos,1,1984-05-25,,,C.Diputados,C. Diputados,2022,2026,Partido Socialista de Chile,5° Distrito
4537,Daniel Melo Contreras,1,1979-02-18,,,C.Diputados,C. Diputados,2022,2026,Partido Socialista de Chile,13er Distrito
4513,Daniel Nunez Arancibia,1,1971-01-07,,,Senado,Senado,2022,2030,Partido Comunista de Chile,5ª Circunscripción
5192,Jaime Araya Guerrero,1,1976-02-04,,,C.Diputados,C. Diputados,2022,2026,,3er Distrito
4585,Raul Leiva Carvajal,1,1974-03-24,,,C.Diputados,C. Diputados,2022,2026,Partido Socialista de Chile,14° Distrito
4510,Daniella Cicardini Milla,1,1987-12-31,,,C.Diputados,C. Diputados,2022,2026,Partido Socialista de Chile,4° Distrito
4562,Cosme Mellado Pino,1,1960-02-24,,,C.Diputados,C. Diputados,2022,2026,Partido Radical Socialdemócrata,16° Distrito
5186,Danisa Astudillo Peiretti,1,1975-05-03,,,C.Diputados,C. Diputados,2022,2026,Partido Socialista de Chile,2° Distrito
1646,David Sandoval Plaza,1,1952-10-20,,,Senado,Senado,2018,2026,Partido Unión Demócrata Independiente,14a Circunscripción
4551,Diego Ibanez Cotroneo,1,1989-01-25,,,C.Diputados,C. Diputados,2022,2026,Partido Frente Amplio,6º Distrito
4617,Diego Schalper Sepulveda,1,1985-03-14,,,C.Diputados,C. Diputados,2022,2026,Partido Renovación Nacional,15° Distrito
1713,Ivan Moreira Barros,1,1956-11-08,,,Senado,Senado,2022,2030,Partido Unión Demócrata Independiente,13ª Circunscripción
4530,Ivan Flores Garcia,1,1955-06-15,,,Senado,Senado,2022,2030,Partido Demócrata Cristiano,12ª Circunscripción
4521,Manuel Jose Ossandon Irarrazabal,1,1962-08-24,,,Senado,Senado,2022,2030,Partido Renovación Nacional,7ª Circunscripción
3494,Isabel Allende Bussi,1,1945-01-18,,,Senado,Senado,2018,2026,Partido Socialista de Chile,6ª Circunscripción
4591,Rafael Prohens Espinosa,1,1955-06-12,,,Senado,Senado,2018,2026,Partido Renovación Nacional,4ª Circunscripción
5251,Eduardo Cornejo Lagos,1,1972-01-12,,,C.Diputados,C. Diputados,2022,2026,Partido Unión Demócrata Independiente,16° Distrito
4598,Eduardo Duran Salinas,1,1972-01-01,,,C.Diputados,C. Diputados,2022,2026,Partido Renovación Nacional,13er Distrito
5212,Hector Ulloa Aguilera,1,1969-08-06,,,C.Diputados,C. Diputados,2022,2026,,26° Distrito
5246,Marcela Riquelme Aliaga,1,1973-03-04,,,C.Diputados,C. Diputados,2022,2026,Partido Frente Amplio,15° Distrito
4553,Emilia Nuyado Ancapichun,1,1968-08-17,,,C.Diputados,C. Diputados,2022,2026,Partido Socialista de Chile,25º Distrito
4540,Renzo Trisotti Martinez,1,1976-03-15,,,C.Diputados,C. Diputados,2022,2026,,2° Distrito
5268,Consuelo Veloso Avila,1,1994-02-11,,,C.Diputados,C. Diputados,2022,2026,,18° Distrito
5232,Ruben Dario Oyarzo Figueroa,1,1980-12-13,,,C.Diputados,C. Diputados,2022,2026,,8° Distrito
5206,Carolina Tello Rojas,1,1985-12-01,,,C.Diputados,C. Diputados,2022,2026,Partido Frente Amplio,5° Distrito
3069,Carlos Ignacio Kuschel Silva,1,1953-03-16,,,Senado,Senado,2022,2030,Partido Renovación Nacional,13ª Circunscripción
4572,Jorge Brito Hasbun,1,1990-01-12,,,C.Diputados,C. Diputados,2022,2026,Partido Frente Amplio,7º Distrito
187,Rojo Edwards Silva,1,1977-07-15,,,Senado,Senado,2022,2030,Partido Social Cristiano,7ª Circunscripción
4604,Jorge Alessandri Vergara,1,1979-06-08,,,C.Diputados,C. Diputados,2022,2026,Partido Unión Demócrata Independiente,10º Distrito
5228,Luis Fernando Sanchez Ossa,1,1988-10-04,,,C.Diputados,C. Diputados,2022,2026,Partido Republicano de Chile,7° Distrito
4633,Rodrigo Galilea Vial,1,1966-11-03,,,Senado,Senado,2018,2026,Partido Renovación Nacional,9ª Circunscripción
5271,Johannes Kaiser Barents-Von Hohenhagen,1,1976-01-05,,,C.Diputados,C. Diputados,2022,2026,,10° Distrito
4524,Joaquin Lavin Leon,1,1979-05-25,,,C.Diputados,C. Diputados,2022,2026,Unión Demócrata Independiente,8° Distrito
5252,Roberto Arroyo Munoz,1,1963-11-29,,,C.Diputados,C. Diputados,2022,2026,Partido Social Cristiano,20° Distrito
4593,Carmen Gloria Aravena Acuna,1,1967-01-06,,,Senado,Senado,2018,2026,Partido Republicano de Chile,11ª Circunscripción
4597,Carmen Hertz Cadiz,1,1945-06-19,,,C.Diputados,C. Diputados,2022,2026,Partido Comunista de Chile,8º Distrito
5185,Luis Malla Valenzuela,1,1992-05-16,,,C.Diputados,C. Diputados,2022,2026,Partido Liberal de Chile,1er Distrito
4565,Joanna Perez Olea,1,1976-04-01,,,C.Diputados,C. Diputados,2022,2026,,21er Distrito
4550,Carolina Marzan Pinto,1,1963-12-22,,,C.Diputados,C. Diputados,2022,2026,Partido Por la Democracia,6º Distrito
